"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Bil21_Eu";"25/09/2026 15:02:50";1235,8;1;46290626963,0093
"Tlm_Dos8_Eu";"25/09/2026 15:02:50";2567,7;1;46290626963,0093
"HMI<->PLC_Real{0}";"25/09/2026 15:02:50";1247;1;46290626963,0093
"Tlm_Bil21_Eu";"25/09/2026 15:02:51";1236,8;1;46290626974,6296
"Tlm_Dos8_Eu";"25/09/2026 15:02:51";2567,5;1;46290626974,6296
"HMI<->PLC_Real{0}";"25/09/2026 15:02:51";1247;1;46290626974,6296
"Tlm_Bil21_Eu";"25/09/2026 15:02:52";1238,2;1;46290626986,2268
"Tlm_Dos8_Eu";"25/09/2026 15:02:52";2565,4;1;46290626986,2268
"HMI<->PLC_Real{0}";"25/09/2026 15:02:52";1247;1;46290626986,2268
"Tlm_Bil21_Eu";"25/09/2026 15:02:53";1243,3;1;46290626997,8472
"Tlm_Dos8_Eu";"25/09/2026 15:02:53";2573,1;1;46290626997,8472
"HMI<->PLC_Real{0}";"25/09/2026 15:02:53";1247;1;46290626997,8472
"Tlm_Bil21_Eu";"25/09/2026 15:02:54";1243;1;46290627009,4907
"Tlm_Dos8_Eu";"25/09/2026 15:02:54";2565,9;1;46290627009,4907
"HMI<->PLC_Real{0}";"25/09/2026 15:02:54";1247;1;46290627009,4907
"Bil21_Wrk_DosaggioInCorso";"25/09/2026 15:02:54";0;1;46290627013,2407
"Tlm_Bil21_Eu";"25/09/2026 15:04:10";0,1;1;46290627888,3912
"Tlm_Dos8_Eu";"25/09/2026 15:04:10";3873,2;1;46290627888,3912
"HMI<->PLC_Real{0}";"25/09/2026 15:04:10";1247;1;46290627888,3912
"Tlm_Bil21_Eu";"25/09/2026 15:04:11";6,5;1;46290627900,0116
"Tlm_Dos8_Eu";"25/09/2026 15:04:11";3849,3;1;46290627900,0116
"HMI<->PLC_Real{0}";"25/09/2026 15:04:11";1247;1;46290627900,0116
"Tlm_Bil21_Eu";"25/09/2026 15:04:12";59,8;1;46290627911,6204
"Tlm_Dos8_Eu";"25/09/2026 15:04:12";3728,8;1;46290627911,6204
"HMI<->PLC_Real{0}";"25/09/2026 15:04:12";1247;1;46290627911,6204
"Tlm_Bil21_Eu";"25/09/2026 15:04:13";121,8;1;46290627923,2523
"Tlm_Dos8_Eu";"25/09/2026 15:04:13";3687;1;46290627923,2523
"HMI<->PLC_Real{0}";"25/09/2026 15:04:13";1247;1;46290627923,2523
"Tlm_Bil21_Eu";"25/09/2026 15:04:14";177,7;1;46290627934,9074
"Tlm_Dos8_Eu";"25/09/2026 15:04:14";3666,8;1;46290627934,9074
"HMI<->PLC_Real{0}";"25/09/2026 15:04:14";1247;1;46290627934,9074
"Tlm_Bil21_Eu";"25/09/2026 15:04:15";242,9;1;46290627946,5509
"Tlm_Dos8_Eu";"25/09/2026 15:04:15";3601,2;1;46290627946,5509
"HMI<->PLC_Real{0}";"25/09/2026 15:04:15";1247;1;46290627946,5509
"Tlm_Bil21_Eu";"25/09/2026 15:04:16";309,5;1;46290627958,1829
"Tlm_Dos8_Eu";"25/09/2026 15:04:16";3534,5;1;46290627958,1829
"HMI<->PLC_Real{0}";"25/09/2026 15:04:16";1247;1;46290627958,1829
"Tlm_Bil21_Eu";"25/09/2026 15:04:17";374;1;46290627969,8032
"Tlm_Dos8_Eu";"25/09/2026 15:04:17";3445,4;1;46290627969,8032
