"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Bil21_Eu";"25/09/2026 16:56:59";1233,1;1;46290706240,6829
"Tlm_Dos8_Eu";"25/09/2026 16:56:59";2886,7;1;46290706240,6829
"HMI<->PLC_Real{0}";"25/09/2026 16:56:59";1247;1;46290706240,6829
"Tlm_Bil21_Eu";"25/09/2026 16:57:00";1236,2;1;46290706252,3264
"Tlm_Dos8_Eu";"25/09/2026 16:57:00";2881,6;1;46290706252,3264
"HMI<->PLC_Real{0}";"25/09/2026 16:57:00";1247;1;46290706252,3264
"Tlm_Bil21_Eu";"25/09/2026 16:57:01";1238,5;1;46290706263,9468
"Tlm_Dos8_Eu";"25/09/2026 16:57:01";2881,5;1;46290706263,9468
"HMI<->PLC_Real{0}";"25/09/2026 16:57:01";1247;1;46290706263,9468
"Tlm_Bil21_Eu";"25/09/2026 16:57:02";1241,5;1;46290706275,5903
"Tlm_Dos8_Eu";"25/09/2026 16:57:02";2885,3;1;46290706275,5903
"HMI<->PLC_Real{0}";"25/09/2026 16:57:02";1247;1;46290706275,5903
"Bil21_Wrk_DosaggioInCorso";"25/09/2026 16:57:03";0;1;46290706279,1782
"Tlm_Bil21_Eu";"25/09/2026 16:57:37";-0,3;1;46290706679,1204
"Tlm_Dos8_Eu";"25/09/2026 16:57:37";2878,3;1;46290706679,1204
"HMI<->PLC_Real{0}";"25/09/2026 16:57:37";1247;1;46290706679,1204
"Tlm_Bil21_Eu";"25/09/2026 16:57:38";12;1;46290706690,7407
"Tlm_Dos8_Eu";"25/09/2026 16:57:38";2779,5;1;46290706690,7407
"HMI<->PLC_Real{0}";"25/09/2026 16:57:38";1247;1;46290706690,7407
"Tlm_Bil21_Eu";"25/09/2026 16:57:39";47;1;46290706702,3843
"Tlm_Dos8_Eu";"25/09/2026 16:57:39";2756,8;1;46290706702,3843
"HMI<->PLC_Real{0}";"25/09/2026 16:57:39";1247;1;46290706702,3843
"Tlm_Bil21_Eu";"25/09/2026 16:57:40";81,1;1;46290706714,0046
"Tlm_Dos8_Eu";"25/09/2026 16:57:40";2769,7;1;46290706714,0046
"HMI<->PLC_Real{0}";"25/09/2026 16:57:40";1247;1;46290706714,0046
"Tlm_Bil21_Eu";"25/09/2026 16:57:41";113,9;1;46290706725,6481
"Tlm_Dos8_Eu";"25/09/2026 16:57:41";2768,8;1;46290706725,6481
"HMI<->PLC_Real{0}";"25/09/2026 16:57:41";1247;1;46290706725,6481
"Tlm_Bil21_Eu";"25/09/2026 16:57:42";135,9;1;46290706737,2801
"Tlm_Dos8_Eu";"25/09/2026 16:57:42";2756,3;1;46290706737,2801
"HMI<->PLC_Real{0}";"25/09/2026 16:57:42";1247;1;46290706737,2801
"Tlm_Bil21_Eu";"25/09/2026 16:57:43";155,1;1;46290706748,9236
"Tlm_Dos8_Eu";"25/09/2026 16:57:43";2646,1;1;46290706748,9236
"HMI<->PLC_Real{0}";"25/09/2026 16:57:43";1247;1;46290706748,9236
"Tlm_Bil21_Eu";"25/09/2026 16:57:44";170,8;1;46290706760,5556
"Tlm_Dos8_Eu";"25/09/2026 16:57:44";2700,8;1;46290706760,5556
"HMI<->PLC_Real{0}";"25/09/2026 16:57:44";1247;1;46290706760,5556
"Tlm_Bil21_Eu";"25/09/2026 16:57:45";183;1;46290706772,9398
"Tlm_Dos8_Eu";"25/09/2026 16:57:45";2677,3;1;46290706772,9398
"HMI<->PLC_Real{0}";"25/09/2026 16:57:45";1247;1;46290706772,9398
"Tlm_Bil21_Eu";"25/09/2026 16:57:46";195,4;1;46290706785,3935
